Jahr,1_Merkmal_Code,1_Auspraegung_Label,2_Auspraegung_Label,3_Merkmal_Code,3_Merkmal_Label,3_Auspraegung_Code,3_Auspraegung_Label,birth
1999,DLAND,Niedersachsen,Januar,GES,Geschlecht,,Insgesamt,6826
1999,DLAND,Niedersachsen,Februar,GES,Geschlecht,,Insgesamt,6250
1999,DLAND,Niedersachsen,Maerz,GES,Geschlecht,,Insgesamt,6513
1999,DLAND,Niedersachsen,April,GES,Geschlecht,,Insgesamt,6469
1999,DLAND,Niedersachsen,Mai,GES,Geschlecht,,Insgesamt,6834
1999,DLAND,Niedersachsen,Juni,GES,Geschlecht,,Insgesamt,6785
1999,DLAND,Niedersachsen,Juli,GES,Geschlecht,,Insgesamt,7796
1999,DLAND,Niedersachsen,August,GES,Geschlecht,,Insgesamt,7141
1999,DLAND,Niedersachsen,September,GES,Geschlecht,,Insgesamt,7084
1999,DLAND,Niedersachsen,Oktober,GES,Geschlecht,,Insgesamt,6370
1999,DLAND,Niedersachsen,November,GES,Geschlecht,,Insgesamt,5958
1999,DLAND,Niedersachsen,Dezember,GES,Geschlecht,,Insgesamt,6457
1999,DLAND,Nordrhein-Westfalen,Januar,GES,Geschlecht,,Insgesamt,15059
1999,DLAND,Nordrhein-Westfalen,Februar,GES,Geschlecht,,Insgesamt,13902
1999,DLAND,Nordrhein-Westfalen,Maerz,GES,Geschlecht,,Insgesamt,14963
1999,DLAND,Nordrhein-Westfalen,April,GES,Geschlecht,,Insgesamt,14300
1999,DLAND,Nordrhein-Westfalen,Mai,GES,Geschlecht,,Insgesamt,14907
1999,DLAND,Nordrhein-Westfalen,Juni,GES,Geschlecht,,Insgesamt,14527
1999,DLAND,Nordrhein-Westfalen,Juli,GES,Geschlecht,,Insgesamt,16035
1999,DLAND,Nordrhein-Westfalen,August,GES,Geschlecht,,Insgesamt,15676
1999,DLAND,Nordrhein-Westfalen,September,GES,Geschlecht,,Insgesamt,15544
1999,DLAND,Nordrhein-Westfalen,Oktober,GES,Geschlecht,,Insgesamt,14130
1999,DLAND,Nordrhein-Westfalen,November,GES,Geschlecht,,Insgesamt,13442
1999,DLAND,Nordrhein-Westfalen,Dezember,GES,Geschlecht,,Insgesamt,14093
1999,DLAND,Rheinland-Pfalz,Januar,GES,Geschlecht,,Insgesamt,3218
1999,DLAND,Rheinland-Pfalz,Februar,GES,Geschlecht,,Insgesamt,3002
1999,DLAND,Rheinland-Pfalz,Maerz,GES,Geschlecht,,Insgesamt,3081
1999,DLAND,Rheinland-Pfalz,April,GES,Geschlecht,,Insgesamt,2938
